CST;Descricao;Tributavel
01;Opera????o Tribut??vel com Al??quota B??sica;Sim
02;Opera????o Tribut??vel com Al??quota Diferenciada;Sim
03;Opera????o Tribut??vel com Al??quota por Unidade de Medida de Produto;Sim
04;Opera????o Tribut??vel Monof??sica - Revenda a Al??quota Zero;Sim
05;Opera????o Tribut??vel por Substitui????o Tribut??ria;Sim
06;Opera????o Tribut??vel a Al??quota Zero;Sim
07;Opera????o Isenta da Contribui????o;N??o
08;Opera????o sem Incid??ncia da Contribui????o;N??o
09;Opera????o com Suspens??o da Contribui????o;N??o
49;Outras Opera????es de Sa??da;N??o
50;Opera????o com Direito a Cr??dito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno;Sim
51;Opera????o com Direito a Cr??dito - Vinculada Exclusivamente a Receita N??o-Tributada no Mercado Interno;Sim
52;Opera????o com Direito a Cr??dito - Vinculada Exclusivamente a Receita de Exporta????o;Sim
53;Opera????o com Direito a Cr??dito - Vinculada a Receitas Tributadas e N??o-Tributadas no Mercado Interno;Sim
54;Opera????o com Direito a Cr??dito - Vinculada a Receitas Tributadas no Mercado Interno e de Exporta????o;Sim
55;Opera????o com Direito a Cr??dito - Vinculada a Receitas N??o Tributadas no Mercado Interno e de Exporta????o;Sim
56;Opera????o com Direito a Cr??dito - Vinculada a Receitas Tributadas e N??o-Tributadas no Mercado Interno e de Exporta????o;Sim
60;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada Exclusivamente a Receita Tributada no Mercado Interno;Sim
61;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada Exclusivamente a Receita N??o-Tributada no Mercado Interno;N??o
62;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada Exclusivamente a Receita de Exporta????o;Sim
63;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada a Receitas Tributadas e N??o-Tributadas no Mercado Interno;N??o
64;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada a Receitas Tributadas no Mercado Interno e de Exporta????o;Sim
65;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada a Receitas N??o-Tributadas no Mercado Interno e de Exporta????o;Sim
66;Cr??dito Presumido - Opera????o de Aquisi????o Vinculada a Receitas Tributadas e N??o-Tributadas no Mercado Interno e de Exporta????o;Sim
67;Cr??dito Presumido - Outras Opera????es;N??o
70;Opera????o de Aquisi????o sem Direito a Cr??dito;N??o
71;Opera????o de Aquisi????o com Isen????o;N??o
72;Opera????o de Aquisi????o com Suspens??o;N??o
73;Opera????o de Aquisi????o a Al??quota Zero;Sim
74;Opera????o de Aquisi????o sem Incid??nncia da Contribui????o;N??o
75;Opera????o de Aquisi????o por Substitui????o Tribut??ria;N??o
98;Outras Opera????es de Entrada;N??o
99;Outras Opera????es;N??o
